title,service_center,X2008,X2009,X2010,X2011,X2012,X2013,XAll_Years
Judges,Vermont S.C.,0,0,66,239,246,0,110
Law and Jurisprudence,California S.C.,109,113,125,124,151,90,134
Law and Jurisprudence,Vermont S.C.,185,130,172,129,107,0,145
Lawyers,California S.C.,221,100,156,131,114,82,148
Lawyers,Vermont S.C.,0,170,167,134,91,0,112
Librarians,California S.C.,35,74,80,77,112,27,72
Librarians,Vermont S.C.,66,130,64,193,144,0,119
Life Sciences,California S.C.,176,136,206,140,92,37,137
Life Sciences,Vermont S.C.,206,154,166,124,91,0,148
Manufacturing Industry Managers and Officials,California S.C.,128,139,89,171,113,83,134
Manufacturing Industry Managers and Officials,Vermont S.C.,120,168,141,81,82,0,118
Marine Engineering Jobs,California S.C.,189,78,313,135,81,40,146
Marine Engineering Jobs,Vermont S.C.,88,81,206,81,91,0,109
Mathematics,California S.C.,163,193,184,163,104,55,153
Mathematics,Vermont S.C.,202,188,216,154,112,0,174
Mathematics and Physical Sciences,California S.C.,186,180,240,148,83,43,154
Mathematics and Physical Sciences,Vermont S.C.,180,199,120,132,89,0,144
Mechanical Engineering Jobs,California S.C.,187,147,155,124,120,66,144
Mechanical Engineering Jobs,Vermont S.C.,146,129,149,124,105,0,131
Medical and Dental Technology,California S.C.,77,94,101,99,77,42,89
Medical and Dental Technology,Vermont S.C.,107,110,127,92,133,0,114
Medicine and Health,California S.C.,125,126,139,128,89,44,116
Medicine and Health,Vermont S.C.,155,160,169,134,135,0,151
Metallurgy and Metallurgical Engineering Jobs,California S.C.,112,147,79,94,132,72,118
Metallurgy and Metallurgical Engineering Jobs,Vermont S.C.,130,92,152,66,102,0,108
Meteorology,California S.C.,243,259,254,257,147,32,204
Meteorology,Vermont S.C.,300,13,75,70,49,0,101
Mining and Petroleum Engineering Jobs,California S.C.,169,213,199,124,123,65,160
Mining and Petroleum Engineering Jobs,Nebraska S.C.,0,0,0,47,0,0,47
Mining and Petroleum Engineering Jobs,Vermont S.C.,156,157,178,105,87,0,137
Mining Industry Managers and Officials,California S.C.,0,26,364,46,111,0,91
Mining Industry Managers and Officials,Vermont S.C.,159,30,56,74,65,0,77
"Misc. Professional, Technical and Managerial",California S.C.,168,178,174,149,112,67,153
"Misc. Professional, Technical and Managerial",Vermont S.C.,195,194,189,152,96,0,165
Miscellaneous Managers and Officials,California S.C.,122,142,124,98,101,70,121
Miscellaneous Managers and Officials,Vermont S.C.,142,134,143,125,119,0,133
Museum Curators and Related Jobs,California S.C.,44,133,132,135,57,37,96
Museum Curators and Related Jobs,Vermont S.C.,86,39,89,101,81,0,79
"Museum, Library and Archival Sciences",California S.C.,85,67,36,143,91,49,87
"Museum, Library and Archival Sciences",Vermont S.C.,181,249,70,123,35,0,132
Music,California S.C.,86,74,126,142,186,106,138
Music,Vermont S.C.,179,102,150,128,123,0,136
Nuclear Engineering Jobs,California S.C.,36,163,45,91,56,30,75
Nuclear Engineering Jobs,Vermont S.C.,141,255,181,50,56,0,137
Osteopaths,California S.C.,215,23,65,0,86,10,68
Osteopaths,Vermont S.C.,0,12,46,212,88,0,72
"Painters, Sculptors and Related Jobs",California S.C.,89,0,316,197,76,85,141
"Painters, Sculptors and Related Jobs",Vermont S.C.,44,108,154,110,113,0,106
Personnel Administration Jobs,California S.C.,147,139,175,148,147,103,160
Personnel Administration Jobs,Vermont S.C.,198,154,172,131,129,0,157
Pharmacists,California S.C.,134,115,115,52,110,57,107
Pharmacists,Vermont S.C.,195,168,130,123,84,0,140
Photography,California S.C.,0,26,139,98,94,112,97
Photography,Vermont S.C.,81,294,74,93,97,0,128
Physicians and Surgeons,California S.C.,55,52,57,52,47,27,53
Physicians and Surgeons,Vermont S.C.,69,62,65,59,48,0,61
Physics,California S.C.,158,147,179,124,80,31,125
Physics,Vermont S.C.,132,128,123,76,89,0,110
Political Science,California S.C.,135,83,109,113,55,31,93
Political Science,Vermont S.C.,45,30,205,165,86,0,106
"Preschool, Primary School and Kindergarten Education",California S.C.,81,86,103,115,90,59,99
"Preschool, Primary School and Kindergarten Education",Vermont S.C.,129,133,120,122,121,0,125
Psychology,California S.C.,97,105,101,152,93,51,108
Psychology,Vermont S.C.,122,75,97,140,102,0,107
Public Administration Managers and Officials,California S.C.,104,36,40,49,156,90,94
Public Administration Managers and Officials,Vermont S.C.,51,94,111,187,132,0,115
Public Relations Management Jobs,California S.C.,162,96,170,132,140,85,145
Public Relations Management Jobs,Vermont S.C.,153,109,152,117,109,0,128
"Publication, Broadcast and Script Editors",California S.C.,103,96,152,95,139,86,126
"Publication, Broadcast and Script Editors",Vermont S.C.,144,140,138,115,105,0,128
Purchasing Management Jobs,California S.C.,116,142,144,169,135,106,153
Purchasing Management Jobs,Vermont S.C.,148,111,162,155,113,0,138
Radio Operators,California S.C.,34,48,198,197,129,19,107
Radio Operators,Vermont S.C.,0,13,41,44,212,0,62
Railroad Conductors,California S.C.,11,0,7,0,0,8,6
Railroad Conductors,Vermont S.C.,8,0,0,0,13,0,4
Registered Nurses,California S.C.,90,127,136,122,115,76,124
Registered Nurses,Vermont S.C.,158,148,175,174,176,0,166
Religion and Theology,California S.C.,83,91,92,94,136,127,125
Religion and Theology,Vermont S.C.,61,64,135,90,120,0,94
Sales and Distribution Management Jobs,California S.C.,141,129,121,118,117,80,131
Sales and Distribution Management Jobs,Vermont S.C.,150,136,150,124,104,0,133
Secondary School Education,California S.C.,70,72,98,89,110,60,93
Secondary School Education,Vermont S.C.,102,174,165,97,73,0,122
Service Industry Managers and Officials,California S.C.,129,137,118,133,142,129,153
Service Industry Managers and Officials,Nebraska S.C.,0,0,168,0,0,0,168
Service Industry Managers and Officials,Vermont S.C.,129,144,157,152,133,0,143
"Ship Captains, Mates Pilots and Engineers",California S.C.,0,0,87,0,0,0,15
"Ship Captains, Mates Pilots and Engineers",Vermont S.C.,154,0,0,276,0,0,86
Social and Welfare Work,California S.C.,123,114,142,125,115,72,127
Social and Welfare Work,Vermont S.C.,200,125,176,113,119,0,147
Social Sciences,California S.C.,137,161,152,161,97,46,133
Social Sciences,Vermont S.C.,126,119,173,160,122,0,140
Sociology,California S.C.,193,104,137,137,73,56,126
Sociology,Vermont S.C.,265,62,305,85,162,0,176
"Sound, Film, Videotape Recording and Reproduction",California S.C.,75,142,76,92,160,68,114
"Sound, Film, Videotape Recording and Reproduction",Vermont S.C.,188,51,70,76,114,0,100
Surveying and Cartographic Jobs,California S.C.,88,44,97,245,157,44,120
Surveying and Cartographic Jobs,Vermont S.C.,177,154,66,43,112,0,110
System Analysis and Programming,California S.C.,237,157,174,142,144,108,178
System Analysis and Programming,National B.C.,0,0,0,173,0,0,173
System Analysis and Programming,Nebraska S.C.,0,0,32,0,12,0,22
System Analysis and Programming,Vermont S.C.,268,193,202,164,136,0,193
Therapists,California S.C.,139,156,180,135,108,74,144
Therapists,Vermont S.C.,147,168,205,131,138,0,158
"Trans, Comm and Utils Industry Managers and Officials",California S.C.,141,88,162,121,146,120,150
"Trans, Comm and Utils Industry Managers and Officials",Vermont S.C.,111,135,161,151,124,0,136
Veterinarians,California S.C.,109,137,149,148,89,75,130
Veterinarians,Vermont S.C.,94,164,143,190,107,0,140
Vocational Education,California S.C.,70,74,105,116,126,93,113
Vocational Education,Vermont S.C.,74,64,66,86,103,0,79
Wholesale and Retail Trade Managers and Officials,California S.C.,66,93,162,120,129,72,119
Wholesale and Retail Trade Managers and Officials,Vermont S.C.,107,117,162,115,113,0,123
Writers,California S.C.,140,97,150,138,133,98,142
Writers,Vermont S.C.,178,153,175,164,125,0,159
